drug_name,side_effects,medical_condition,rating
Florastor,"hives  difficult breathing swelling of your face, lips, tongue, or throat although not all side effects are known, florastor is thought to be likely safe for most people when used as directed for up to 15 months common side effects of florastor may include gas, bloating  or constipation ",Diarrhea,6.6
Florastor Kids,"hives  difficult breathing swelling of your face, lips, tongue, or throat although not all side effects are known, florastor kids is thought to be likely safe for most people when used as directed for up to 15 months common side effects of florastor kids may include gas, bloating  or constipation ",Diarrhea,1.0
Focalin,"fever hives  difficulty breathing swelling of your face, lips, tongue, or throat call your doctor at once if you have signs of heart problems  chest pain, trouble breathing, feeling like you might pass out signs of psychosis  hallucinations seeing or hearing things that are not real, new thought or behavior problems, aggression, hostility, paranoia signs of circulation problems  numbness , pain, cold feeling, unexplained wounds, or skin color changes pale, red, or blue appearance in your fingers or toes or penis erection that is painful or lasts 4 hours or longer seek medical attention right away if you have symptoms of serotonin syndrome, such as agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea  dexmethylphenidate can affect growth in children your childs height and weight may need to be checked often tell your doctor if your child is not growing at a normal rate common focalin side effects may include loss of appetite nausea, stomach pain or fever",ADHD,5.8
Focalin XR,"fever hives  difficulty breathing swelling of your face, lips, tongue, or throat focalin xr may cause serious side effects call your doctor at once if you have signs of heart problemschest pain, trouble breathing, feeling like you might pass out signs of psychosishallucinations seeing or hearing things that are not real, new thought or behavior problems, aggression, hostility, paranoia signs of circulation problems numbness , pain, cold feeling, unexplained wounds, or skin color changes pale, red, or blue appearance in your fingers or toes or penis erection that is painful or lasts 4 hours or longer seek medical attention right away if you have symptoms of serotonin syndrome, such as agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea  focalin xr can affect growth in children your childs height and weight may need to be checked often tell your doctor if your child is not growing at a normal rate common side effects of focalin xr may include loss of appetite nausea, stomach pain or fever",ADHD,7.0
Forfivo XL,"forfivo xl can cause serious side effects, including see important information about forfivo xl the most common side effects of forfivo xl include dry mouth nausea trouble sleeping dizziness sore throat stomach pain agitation anxiety shakiness fast heart beat sweating ringing in the ears muscle pain anorexia urinating more often than normal for you rash if you have nausea, take your medicine with food if you have trouble sleeping, do not take your medicine too close to bedtime tell your healthcare provider right away about any side effects that bother you these are not all the side effects of forfivo xl for a complete list, ask your healthcare provider or pharmacist call your healthcare provider for medical advice about side effects you may report side effects to fda at 1800fda1088 forfivo xl side effects",Depression,10.0
Forteo,"hives  difficult breathing swelling of your face, lips, tongue, or throat call your doctor at once if you have bone pain new or unusual swelling or lumps under your skin a lightheaded feeling, like you might pass out may occur within 4 hours after injection pounding heartbeats or fluttering in your chest after using an injection or high calcium levels  confusion, muscle weakness, nausea, vomiting, lack of energy, constipation , increased thirst or urination, weight loss  common forteo side effects may include nausea joint pain or pain anywhere in your body",Osteoporosis,5.2
Fosamax,"hives wheezing, difficulty breathing swelling of your face, lips, tongue, or throat stop using fosamax and call your doctor at once if you have chest pain, new or worsening heartburn difficulty or pain when swallowing pain or burning under the ribs or in the back severe heartburn, burning pain in your upper stomach, or coughing up blood new or unusual pain in your thigh, hip or groin jaw pain, numbness, or swelling severe joint, bone, or muscle pain or signs of low calcium levels  muscle spasms or contractions, numbness or tingly feeling around your mouth, or in your fingers and toes common fosamax side effects may include heartburn, upset stomach stomach pain, nausea diarrhea, constipation or headaches or bone pain, muscle or joint pain",Osteoporosis,2.4
Fostex Medicated,"warningcaution even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect signs of an allergic reaction, like rash hives  itching red, swollen, blistered, or peeling skin with or without fever wheezing tightness in the chest or throat trouble breathing, swallowing, or talking unusual hoarseness or swelling of the mouth, face, lips, tongue, or throat very bad skin irritation fostex medicated side effects",Acne,10.0
Frova,"hives  difficulty breathing swelling of your face, lips, tongue, or throat frova may cause serious side effects stop using frova and call your doctor at once if you have sudden and severe stomach pain and bloody diarrhea  severe chest pain, shortness of breath, irregular heartbeats a seizure convulsions blood circulation problems in your legs or feetcramps, tight or heavy feeling, numbness or tingling, muscle weakness, burning pain, cold feeling, color changes pale or blue, hip pain heart attack symptomschest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating high levels of serotonin in the body agitation , hallucinations, fever, fast heart rate , overactive reflexes, nausea, vomiting , diarrhea, loss of coordination, fainting increased blood pressuresevere headache, blurred vision, pounding in your neck or ears, anxiety , nosebleed or signs of a strokesudden numbness or weakness especially on one side of the body, sudden severe headache, slurred speech, problems with vision or balance common side effects of frova may include mild headache not a migraine feeling too warm or too cold dry mouth, upset stomach  chest pain bone or joint pain numbness or tingling in your fingers or toes dizziness , tiredness or flushing warmth, redness, or tingly feeling",Migraine,9.0
Fuzeon,"skin rash or hives  fever with vomiting  blood in your urine difficulty breathing fainting swelling of your feet, face, lips, tongue, or throat call your doctor at once if you have shortness of breath fever, chills, chest congestion, cough with yellow or green mucus, stabbing chest pain, wheezing fever with vomiting and skin rash severe pain in your upper stomach spreading to your back, nausea and vomiting  blood in your urine swelling in your feet a skin reaction itching, redness, swelling, pain, or a hard lump where the medicine is injected or pain, warmth, oozing, or redness where an injection was given, especially if these symptoms get worse or last longer than 7 days enfuvirtide affects your immune system, which may cause certain side effects even weeks or months after youve taken this medicine tell your doctor if you have signs of a new infection  fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss  trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling or swelling in your neck or throat enlarged thyroid, menstrual changes, impotence  common fuzeon side effects may include nausea , loss of appetite, constipation , diarrhea numbness or pain in your legs or feet muscle pain or weakness depressed mood swollen glands, runny or stuffy nose weight loss tiredness, trouble sleeping, tired or pain, swelling, burning, or irritation where the medicine was injected",AIDS/HIV,9.3
Fycompa,"hives  difficult breathing swelling of your face, lips, tongue, or throat seek medical treatment if you have a serious drug reaction that can affect many parts of your body symptoms may include skin rash , fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes report any new or worsening symptoms to your doctor, such as mood or behavior changes, anxiety , fear, panic attacks , trouble sleeping, or if you feel irritable, agitated, hostile, aggressive, restless, hyperactive mentally or physically, or have thoughts about suicide or hurting yourself or someone else call your doctor at once if you have severe dizziness, spinning sensation, feeling like you might pass out trouble walking, loss of balance or coordination feeling very weak or tired an accidental fall or memory problems, confusion, hallucinations accidental falls may occur more often in elderly patients who take fycompa use caution to avoid falling or accidental injury while taking this medicine common fycompa side effects may include headache , dizziness, drowsiness feeling anxious, tired, or irritable nausea , vomiting , stomach pain bruising weight gain or loss of coordination",Seizures,4.7
Gabitril,"hives  fever swollen glands painful sores in or around your eyes or mouth difficulty breathing swelling of your face, lips, tongue, or throat new seizures have occurred in some people who are not epileptic who take medicine for partial seizures call your doctor at once if you have new or worsening seizures report any new or worsening symptoms to your doctor, such as mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive mentally or physically, more depressed, or have thoughts about suicide or hurting yourself gabitril may cause serious side effects call your doctor at once if you have new or worsened seizures confusion, extreme weakness a lightheaded feeling, like you might pass out vision problems or severe skin reactionfever, sore throat , swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads especially in the face or upper body and causes blistering and peeling common side effects of gabitril may include tiredness, lack of energy dizziness , drowsiness nausea , stomach pain feeling nervous or irritable tremors or trouble concentrating",Seizures,6.0
GaviLAX,"hives  difficult breathing swelling of your face, lips, tongue, or throat stop taking gavilax and call your doctor at once if you have severe or bloody diarrhea  rectal bleeding  blood in your stools or severe and worsening stomach pain common side effects of gavilax may include bloating , gas, upset stomach  dizziness  or increased sweating",Constipation,1.0
Gelnique,"hives  difficult breathing swelling of your face, lips, tongue, or throat stop using this medicine and call your doctor at once if you have little or no urination severe constipation confusion, hallucinations vomiting, severe heartburn or upper stomach pain pain or burning when you urinate or dehydration symptoms  feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin  common gelnique side effects may include redness, itching, or mild skin irritation where the gel was applied dizziness , drowsiness dry mouth dry eyes, blurred vision or constipation, diarrhea , decreased urination",Incontinence,2.0
Gelsyn-3,"hives  difficult breathing swelling of your face, lips, tongue, or throat gelsyn3 may cause serious side effects call your doctor at once if you have severe pain or swelling around the knee after the injection common side effects of gelsyn3 may include warmth, pain, redness, stiffness, bruising, or puffiness where the medicine was injected nausea , stomach pain trouble walking swelling in your hands or feet back pain , joint pain, muscle pain numbness or tingly feeling headache , dizziness  or runny or stuffy nose, sneezing, sore throat ",Osteoarthritis,4.4
Gelusil,"hives  difficult breathing swelling of your face, lips, tongue, or throat this medicine may cause serious side effects stop using this medicine and call your doctor at once if you have bone pain, muscle weakness confusion, changes in your mental state, seizure convulsions or pale skin, feeling lightheaded or short of breath, rapid heart rate less serious side effects may be more likely, and you may have none at all",GERD (Heartburn),9.0
Genvoya,"hives  difficult breathing swelling of your face, lips, tongue, or throat call your doctor at once if you have kidney problems  swelling, urinating less, feeling tired or short of breath lactic acidosis  unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness , feeling cold, or feeling very weak or tired or liver problems  nausea , upper stomach pain, loss of appetite, dark urine, claycolored stools, jaundice yellowing of the skin or eyes antiviral medicine can affect your immune system even weeks or months after youve used genvoya tell your doctor if you have signs of a new infection  fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss  trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling or swelling in your neck or throat enlarged thyroid, menstrual changes, impotence  common genvoya side effects may include nausea or diarrhea",AIDS/HIV,7.2
Geodon,"hives, difficult breathing, swelling in your face or throat or a severe skin reaction fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling seek medical treatment if you have a serious drug reaction that can affect many parts of your body symptoms may include skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes this reaction may occur several weeks after you began using ziprasidone also call your doctor at once if you have dizziness or a lightheaded feeling, like you might pass out chest pain, fast or pounding heartbeats uncontrolled muscle movements in your face chewing, lip smacking, frowning, tongue movement, blinking or eye movement sudden weakness or ill feeling, fever, chills, sore throat, mouth sores, red or swollen gums, pain when swallowing increased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss or very stiff rigid muscles, high fever, sweating, confusion, agitation common geodon side effects may include dizziness, drowsiness, weakness headache nausea, vomiting trouble swallowing weight gain feeling restless or being unable to sit still tremors, involuntary muscle movements vision problems or runny nose, new or worsening cough",Bipolar Disorder,5.5
Gianvi,"hives  difficult breathing swelling of your face, lips, tongue, or throat birth control pills may cause serious side effects stop using birth control pills and call your doctor at once if you have signs of a strokesudden numbness or weakness especially on one side of the body, sudden severe headache, slurred speech, problems with vision or balance signs of a blood clotsudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs heart attack symptomschest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating liver problemsloss of appetite, upper stomach pain, tiredness, dark urine, claycolored stools, jaundice yellowing of the skin or eyes increased blood pressuresevere headache, blurred vision, pounding in your neck or ears swelling in your hands, ankles, or feet a change in the pattern or severity of migraine headaches or symptoms of depressionsleep problems, weakness, tired feeling, mood changes common side effects of gianvi may include nausea, vomiting  breast tenderness headache, mood changes, feeling tired or irritable weight gain or changes in your menstrual periods, decreased sex drive",Acne,7.3
Glucotrol,"hives  difficulty breathing swelling of your face, lips, tongue, or throat call your doctor at once if you have symptoms of low blood sugar headache, irritability sweating, fast heart rate dizziness, nausea or hunger, feeling anxious or shaky common glucotrol side effects may include diarrhea , constipation , gas dizziness, drowsiness tremors or skin rash , redness, or itching",Diabetes (Type 2),7.4
Glucovance,"hives  difficult breathing swelling of your face, lips, tongue, or throat call your doctor at once if you have heart problems  swelling, rapid weight gain, feeling short of breath severe hypoglycemia  extreme weakness, blurred vision, sweating, trouble speaking, tremors, stomach pain, confusion, seizure or lactic acidosis  unusual muscle pain, trouble breathing, stomach pain, vomiting, irregular heart rate, dizziness, feeling cold, or feeling very weak or tired common glucovance side effects may include low blood sugar nausea, diarrhea, upset stomach  or headache",Diabetes (Type 2),8.0
Glumetza,"hives  difficult breathing swelling of your face, lips, tongue, or throat some people using glumetza develop lactic acidosis, which can be fatal get emergency medical help if you have even mild symptoms such as unusual muscle pain feeling cold trouble breathing feeling dizzy, lightheaded, tired, or very weak stomach pain, vomiting  or slow or irregular heart rate common side effects of glumetza may include low blood sugar nausea , upset stomach  or diarrhea ",Diabetes (Type 2),9.5
GlycoLax,"hives  difficult breathing swelling of your face, lips, tongue, or throat stop taking glycolax and call your doctor at once if you have severe or bloody diarrhea  rectal bleeding  blood in your stools or severe and worsening stomach pain common side effects of glycolax may include bloating , gas, upset stomach  dizziness  or increased sweating",Constipation,0.0
Glyset,"hives  difficult breathing swelling of your face, lips, tongue, or throat glyset may cause serious side effects call your doctor at once if you have severe diarrhea or constipation  bloody or tarry stools rectal bleeding  or diarrhea that contains blood or mucus common side effects of glyset may include stomach discomfort diarrhea gas or mild rash",Diabetes (Type 2),10.0
Glyxambi,"hives , itching, flaking or peeling skin  trouble swallowing, difficult breathing swelling of your face, lips, tongue, or throat seek medical attention right away if you have signs of a serious genital infection penis or vagina burning, itching, odor, discharge, pain, tenderness, redness or swelling of the genital or rectal area, fever, not feeling well these symptoms may get worse quickly stop taking glyxambi and call your doctor at once if you have pain and burning when you urinate, painful urination a lightheaded feeling, like you might pass out low blood sugar  headache, hunger, sweating, irritability, dizziness, fast heart rate, and feeling anxious or shaky heart problems  swelling, rapid weight gain, feeling short of breath or dehydration  dizziness, confusion, feeling very thirsty, less urination stop taking this medicine and call your doctor at once if you have severe or ongoing pain in your joints serious skin reaction  itching, blisters, breakdown of the outer layer of skin ketoacidosis too much acid in the blood  nausea, vomiting, stomach pain, confusion, unusual drowsiness, or trouble breathing or pancreatitis  severe pain in your upper stomach spreading to your back, nausea and vomiting common glyxambi side effects may include a bladder infection or cold symptoms such as runny or stuffy nose, sneezing, sore throat ",Diabetes (Type 2),6.5
Goody's Extra Strength,"hives  difficulty breathing swelling of your face, lips, tongue, or throat in rare cases, acetaminophen may cause a severe skin reaction that can be fatal this could occur even if you have taken acetaminophen in the past and had no reaction stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling if you have this type of reaction, you should never again take any medicine that contains acetaminophen this medicine may cause serious side effects stop using this medicine and call your doctor at once if you have severe anxiety , agitation , confusion, panic easy bruising or bleeding a lightheaded feeling, like you might pass out dehydration symptomsfeeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin  symptoms of stomach bleedingbloody or tarry stools, coughing up blood or vomit that looks like coffee grounds high potassiumnausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement or liver problemsnausea, upper stomach pain, itching, loss of appetite, dark urine, claycolored stools, jaundice yellowing of the skin or eyes common side effects of goodys extra strength may include upset stomach , heartburn  depressed mood, feeling anxious or restless or sleep problems  insomnia ",Migraine,10.0
Goody's Extra-Strength Headache Powders,"warningcaution even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect signs of an allergic reaction, like rash hives  itching red, swollen, blistered, or peeling skin with or without fever wheezing tightness in the chest or throat trouble breathing, swallowing, or talking unusual hoarseness or swelling of the mouth, face, lips, tongue, or throat signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, lightcolored stools, throwing up, or yellow skin or eyes signs of bleeding like throwing up or coughing up blood  vomit that looks like coffee grounds blood in the urine black, red, or tarry stools bleeding from the gums abnormal vaginal bleeding  bruises without a cause or that get bigger or bleeding you cannot stop feeling confused feeling very tired or weak very bad dizziness or passing out ringing in ears hearing loss  very bad headache or if headache is not better after the first dose a very bad skin reaction  stevensjohnson syndrome  toxic epidermal necrolysis  may happen it can cause very bad health problems that may not go away, and sometimes death get medical help right away if you have signs like red, swollen, blistered, or peeling skin with or without fever red or irritated eyes or sores in your mouth, throat, nose, or eyes very bad stomach ulcers or bleeding can happen with this medicine goodys extrastrength headache powders taking it in high doses or for a long time, smoking , or drinking alcohol raises the chance of these side effects taking this medicine goodys extrastrength headache powders with food will not lower the chance of these effects call your doctor or get medical help right away if you get very bad stomach or back pain  black, tarry, or bloody stools throwing up blood or throw up that looks like coffee grounds or weight gain or swelling that is not normal goodys extrastrength headache powders side effects",Migraine,5.3
Goody's Headache Powders,"hives  difficulty breathing swelling of your face, lips, tongue, or throat in rare cases, acetaminophen may cause a severe skin reaction that can be fatal this could occur even if you have taken acetaminophen in the past and had no reaction stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling if you have this type of reaction, you should never again take any medicine that contains acetaminophen this medicine may cause serious side effects stop using this medicine and call your doctor at once if you have severe anxiety , agitation , confusion, panic easy bruising or bleeding a lightheaded feeling, like you might pass out dehydration symptomsfeeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin  symptoms of stomach bleedingbloody or tarry stools, coughing up blood or vomit that looks like coffee grounds high potassiumnausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement or liver problemsnausea, upper stomach pain, itching, loss of appetite, dark urine, claycolored stools, jaundice yellowing of the skin or eyes common side effects of goodys headache powders may include upset stomach , heartburn  depressed mood, feeling anxious or restless or sleep problems  insomnia ",Migraine,6.0
Halcion,"hives  difficult breathing swelling of your face, lips, tongue, or throat halcion can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol a person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up halcion may cause serious side effects call your doctor at once if you have daytime anxiety  unusual changes in mood or behavior confusion, memory loss , agitation , hallucinations or depression, suicidal thoughts some people using halcion have engaged in activity such as driving, eating, walking, making phone calls, or having sex and later having no memory of the activity tell your doctor if this happens to you drowsiness or dizziness may last longer in older adults use caution to avoid falling or accidental injury common side effects of halcion may include drowsiness loss of coordination dizziness or feeling lightheaded",Insomnia,7.9
Halog,"hives  difficult breathing swelling of your face, lips, tongue, or throat halog may cause serious side effects call your doctor at once if you have worsening of your skin condition redness, warmth, swelling, oozing, or severe irritation of any treated skin high blood sugarincreased thirst, increased urination, dry mouth, fruity breath odor or possible signs of absorbing this medicine through your skinweight gain especially in your face or your upper back and torso slow wound healing, thinning skin, increased body hair changes in sexual function feeling depressed, anxious, or irritable common side effects of halog may include burning, itching, or irritation of treated skin increased hair growth white or pruned appearance of the skin rash, pimples  or changes in color of treated skin",Eczema,8.0
Headache Relief PM,"hives  difficult breathing swelling of your face, lips, tongue, or throat in rare cases, acetaminophen may cause a severe skin reaction that can be fatal this could occur even if you have taken acetaminophen in the past and had no reaction stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling if you have this type of reaction, you should never again take any medicine that contains acetaminophen the medicine may cause serious side effects stop using the medicine and call your doctor at once if you have severe drowsiness painful or difficult urination or liver problemsloss of appetite, stomach pain upper right side, tiredness, itching, dark urine, claycolored stools, jaundice yellowing of the skin or eyes common side effects of headache relief pm may include drowsiness constipation  decreased urination dry eyes, blurred vision or dry mouth, nose, or throat",Insomnia,6.0
Hiprex,"hives  difficult breathing swelling of your face, lips, tongue, or throat hiprex may cause serious side effects call your doctor at once if you have increased urination painful urination blood in your urine or swelling, shortness of breath common side effects of hiprex may include painful urination nausea , vomiting  or rash, itching",UTI,8.0
Humalog,"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat call your doctor at once if you have weight gain, swelling in your hands or feet, feeling short of breath low blood sugar  headache, hunger, sweating, irritability, dizziness, fast heart rate, and feeling anxious or shaky or low potassium  leg cramps, constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling common humalog side effects may include low blood sugar weight gain swelling in your hands or feet itching or thickening or hollowing of the skin where you injected the medicine",Diabetes (Type 1),6.8
Humalog KwikPen,"warningcaution even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect signs of an allergic reaction, like rash hives  itching red, swollen, blistered, or peeling skin with or without fever wheezing tightness in the chest or throat trouble breathing, swallowing, or talking unusual hoarseness or swelling of the mouth, face, lips, tongue, or throat signs of low potassium levels like muscle pain or weakness, muscle cramps, or a heartbeat that does not feel normal signs of infection like fever, chills, very bad sore throat , ear or sinus pain, cough, more sputum or change in color of sputum, pain with passing urine, mouth sores, or wound that will not heal change in eyesight chills very bad dizziness or passing out mood changes seizures slurred speech shortness of breath, a big weight gain, or swelling in the arms or legs thick skin, pits, or lumps where the injection was given low blood sugar may occur signs may be dizziness, headache , feeling sleepy, feeling weak, shaking, a fast heartbeat , confusion, hunger, or sweating call the doctor right away if any of these signs occur follow what you have been told to do if low blood sugar occurs this may include taking glucose tablets, liquid glucose, or some fruit juices humalog kwikpen side effects",Diabetes (Type 1),3.3
Humalog Mix 75/25,"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat call your doctor at once if you have fluid retention  weight gain, swelling in your hands or feet, feeling short of breath or low potassium  leg cramps, constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling common humalog mix side effects may include low blood sugar itching, mild skin rash or thickening or hollowing of the skin where you injected the medicine",Diabetes (Type 1),9.0
Humira,"hives  difficulty breathing swelling of your face, lips, tongue, or throat call your doctor right away if you have any symptoms of lymphoma  fever, swollen glands, night sweats , general feeling of illness joint and muscle pain , skin rash , easy bruising or bleeding pale skin, feeling lightheaded or short of breath, cold hands and feet pain in your upper stomach that may spread to your shoulder or loss of appetite, feeling full after eating only a small amount, weight loss  also call your doctor at once if you have new or worsening psoriasis raised, silvery flaking of the skin a sore or bump on your skin that does not heal symptoms of sepsis  confusion, chills, severe drowsiness, fast heartbeats, rapid breathing, feeling very ill liver problems  body aches, tiredness, stomach pain, rightsided upper stomach pain, vomiting, loss of appetite, dark urine, claycolored stools, jaundice yellowing of the skin or eyes lupus like syndrome  joint pain or swelling, chest pain, shortness of breath, patchy skin color that worsens in sunlight nerve problems  numbness, tingling, dizziness , vision problems, weakness in your arms or legs or signs of tuberculosis  fever with ongoing cough, weight loss fat or muscle older adults may be more likely to develop infections or cancer while using adalimumab common side effects of humira may include headache  cold symptoms such as stuffy nose, sinus pain, sneezing, sore throat  rash or redness, bruising, itching, or swelling where the injection was given",Psoriasis,6.9
Humulin N,"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, chest tightness, feeling like you might pass out, or swelling in your tongue or throat call your doctor at once if you have fluid retention  weight gain, swelling in your hands or feet, feeling short of breath or low potassium  leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling common humulin n side effects may include low blood sugar weight gain, swelling in your hands or feet itching, mild skin rash  or thickening or hollowing of the skin where you injected the medicine",Diabetes (Type 1),10.0
Humulin R U-500 (Concentrated),"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat humulin r concentrated may cause serious side effects call your doctor at once if you have fluid retention weight gain, swelling in your hands or feet, feeling short of breath or low potassium leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling common side effects of humulin r concentrated may include low blood sugar itching, mild skin rash  or thickening or hollowing of the skin where you injected the medicine",Diabetes (Type 1),10.0
Hyalgan,"hives  difficult breathing swelling of your face, lips, tongue, or throat hyalgan may cause serious side effects call your doctor at once if you have severe pain or swelling around the knee after the injection common side effects of hyalgan may include warmth, pain, redness, stiffness, bruising, or puffiness where the medicine was injected nausea , stomach pain trouble walking swelling in your hands or feet back pain , joint pain, muscle pain numbness or tingly feeling headache , dizziness  or runny or stuffy nose, sneezing, sore throat ",Osteoarthritis,4.9
Hymovis,"hives  difficult breathing swelling of your face, lips, tongue, or throat hymovis may cause serious side effects call your doctor at once if you have bleeding increased knee pain or signs of infection warmth, swelling, redness around your knee common side effects of hymovis may include joint pain, stiffness, or swelling itching, numbness , or tingling headache , dizziness  back pain  swelling, pain, redness, or mild discomfort where the medicine was injected",Osteoarthritis,3.9
Hysingla ER,"hives  difficult breathing swelling of your face, lips, tongue, or throat opioid medicine can slow or stop your breathing, and death may occur a person caring for you should give naloxone andor seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up stop using hysingla er and call your doctor at once if you have noisy breathing, sighing, shallow breathing, breathing that stops during sleep a slow heart rate or weak pulse pain or burning when you urinate confusion, tremors, severe drowsiness a lightheaded feeling, like you might pass out low cortisol levels nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness or high levels of serotonin in the body  agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, diarrhea serious breathing problems may be more likely in older adults and in those who are debilitated or have wasting syndrome or chronic breathing disorders seek medical attention right away if you have symptoms of serotonin syndrome, such as agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea  longterm use of opioid medication may affect fertility ability to have children in men or women it is not known whether opioid effects on fertility are permanent common hysingla er side effects may include constipation , nausea, vomiting dizziness, drowsiness, feeling tired headache  or cold symptoms such as stuffy nose, sneezing, sore throat ",Pain,4.1
Hytrin,"hives difficulty breathing swelling of your face, lips, tongue, or throat call your doctor at once if you have any of these serious side effects fast or pounding heartbeats or fluttering in your chest feeling like you might pass out swelling in your hands, ankles, or feet or penis erection that is painful or lasts 4 hours or longer less serious hytrin side effects may include mild dizziness weakness, drowsiness blurred vision nausea or headache",Hypertension,8.0
Hyzaar,"hives  difficulty breathing swelling of your face, lips, tongue, or throat call your doctor at once if you have a lightheaded feeling, like you might pass out irregular heartbeats eye pain, vision problems kidney problems  little or no urination, rapid weight gain, swelling in your hands, feet, or ankles new or worsening symptoms of lupus  joint pain, and a skin rash on your cheeks or arms that worsens in sunlight or signs of an electrolyte imbalance  increased thirst or urination, confusion, vomiting, constipation, muscle pain, leg cramps, irregular heartbeats, numbness or tingling, severe weakness, loss of movement, feeling jittery or unsteady common hyzaar side effects may include dizziness back pain or cold symptoms such as stuffy nose, sneezing, sore throat",Hypertension,6.6
Ibuprofen PM,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath this medicine may cause serious side effects stop using this medicine and call your doctor at once if you have any skin rash, no matter how mild a lightheaded feeling, like you might pass out signs of stomach bleedingbloody or tarry stools, coughing up blood or vomit that looks like coffee grounds kidney problemslittle or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath or liver problems nausea , upper stomach pain, itching, tired feeling, flulike symptoms, loss of appetite, dark urine, claycolored stools, jaundice yellowing of the skin or eyes common side effects of ibuprofen pm may include drowsiness daytime drowsiness, dizziness , hangover feeling upset stomach , heartburn , diarrhea , constipation  dry mouth, nose, or throat blurred vision mild itching or rash or ringing in your ears",Insomnia,8.5
Icy Hot Medicated Spray,"warningcaution even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect signs of an allergic reaction, like rash hives  itching red, swollen, blistered, or peeling skin with or without fever wheezing tightness in the chest or throat trouble breathing, swallowing, or talking unusual hoarseness or swelling of the mouth, face, lips, tongue, or throat very bad skin irritation icy hot medicated spray side effects",Pain,1.0
